Date,All in employment,Public sector,Private sector,"Agriculture, forestry & fishing","Mining, energy and water supply",Manufacturing,Construction,"Wholesale, retail & repair of motor vehicles",Transport & storage,Accommod-ation & food services,Information & communication,Financial & insurance activities,Real estate activities,"Professional, scientific & technical activities",Administrative & support services,Public admin & defence; social security,Education,Human health & social work activities,Other services
4/1/05,28735.00,6920.00,21695.00,284.00,398.00,3336.00,2384.00,4213.00,1558.00,1317.00,1013.00,1210.00,240.00,1755.00,1338.00,1938.00,2768.00,3479.00,"1,431"
7/1/05,29035.00,7021.00,21900.00,283.00,406.00,3317.00,2458.00,4239.00,1576.00,1281.00,1024.00,1287.00,248.00,1783.00,1325.00,1983.00,2718.00,3571.00,"1,450"
10/1/05,28938.00,7039.00,21782.00,288.00,415.00,3260.00,2410.00,4202.00,1593.00,1267.00,1022.00,1279.00,257.00,1818.00,1299.00,1967.00,2755.00,3559.00,"1,448"
1/1/06,28966.00,7130.00,21735.00,273.00,404.00,3242.00,2431.00,4163.00,1564.00,1286.00,1014.00,1270.00,252.00,1835.00,1276.00,2020.00,2836.00,3576.00,"1,426"
4/1/06,29032.00,7096.00,21824.00,268.00,414.00,3285.00,2460.00,4117.00,1555.00,1340.00,1024.00,1259.00,263.00,1806.00,1280.00,1990.00,2849.00,3579.00,"1,446"
7/1/06,29289.00,7018.00,22165.00,293.00,424.00,3280.00,2510.00,4154.00,1574.00,1382.00,1045.00,1252.00,248.00,1824.00,1323.00,1970.00,2758.00,3630.00,"1,528"
10/1/06,29276.00,6940.00,22216.00,302.00,436.00,3234.00,2542.00,4198.00,1585.00,1329.00,1057.00,1270.00,248.00,1825.00,1328.00,1962.00,2813.00,3522.00,"1,508"
1/1/07,29108.00,6954.00,22040.00,288.00,450.00,3216.00,2527.00,4120.00,1566.00,1324.00,1056.00,1263.00,257.00,1874.00,1304.00,1980.00,2798.00,3500.00,"1,473"
4/1/07,29242.00,6987.00,22131.00,294.00,464.00,3281.00,2544.00,4034.00,1559.00,1371.00,1051.00,1272.00,245.00,1883.00,1347.00,1985.00,2823.00,3461.00,"1,513"
7/1/07,29525.00,6919.00,22466.00,297.00,469.00,3269.00,2558.00,4090.00,1556.00,1406.00,1062.00,1304.00,266.00,1912.00,1432.00,1990.00,2782.00,3505.00,"1,512"
10/1/07,29640.00,7018.00,22479.00,307.00,461.00,3216.00,2537.00,4187.00,1576.00,1395.00,1019.00,1312.00,279.00,1952.00,1399.00,1996.00,2840.00,3531.00,"1,517"
1/1/08,29596.00,7047.00,22404.00,334.00,452.00,3148.00,2535.00,4184.00,1605.00,1382.00,1024.00,1288.00,263.00,1939.00,1398.00,2011.00,2847.00,3566.00,"1,509"
4/1/08,29637.00,7101.00,22383.00,321.00,446.00,3087.00,2512.00,4195.00,1590.00,1355.00,1033.00,1287.00,253.00,1969.00,1417.00,2035.00,2861.00,3642.00,"1,519"
7/1/08,29685.00,7039.00,22508.00,313.00,463.00,3068.00,2583.00,4248.00,1606.00,1355.00,1063.00,1272.00,259.00,1919.00,1404.00,2033.00,2805.00,3648.00,"1,533"
10/1/08,29593.00,7167.00,22289.00,306.00,507.00,2981.00,2564.00,4221.00,1626.00,1335.00,1036.00,1244.00,252.00,1849.00,1347.00,2037.00,2848.00,3748.00,"1,584"
1/1/09,29277.00,7224.00,21913.00,322.00,489.00,2857.00,2482.00,4107.00,1571.00,1324.00,1035.00,1227.00,273.00,1842.00,1309.00,2009.00,2919.00,3772.00,"1,579"
4/1/09,29003.00,7238.00,21624.00,311.00,483.00,2777.00,2385.00,3989.00,1510.00,1360.00,1015.00,1235.00,268.00,1882.00,1301.00,1967.00,2929.00,3739.00,"1,583"
7/1/09,29170.00,7278.00,21745.00,329.00,491.00,2813.00,2311.00,4031.00,1463.00,1428.00,1020.00,1246.00,265.00,1890.00,1301.00,1977.00,2960.00,3778.00,"1,599"
10/1/09,29167.00,7324.00,21691.00,323.00,482.00,2799.00,2311.00,4017.00,1455.00,1406.00,1014.00,1223.00,254.00,1886.00,1328.00,1944.00,3045.00,3846.00,"1,579"
1/1/10,28924.00,7255.00,21488.00,336.00,472.00,2815.00,2208.00,3943.00,1462.00,1388.00,1011.00,1210.00,263.00,1882.00,1319.00,1930.00,3062.00,3824.00,"1,549"
4/1/10,29110.00,7325.00,21586.00,341.00,463.00,2875.00,2207.00,4004.00,1443.00,1461.00,979.00,1175.00,262.00,1893.00,1326.00,1925.00,3129.00,3848.00,"1,532"
7/1/10,29484.00,7298.00,21973.00,369.00,474.00,2888.00,2234.00,4112.00,1483.00,1503.00,1045.00,1165.00,301.00,1852.00,1341.00,1925.00,3120.00,3821.00,"1,594"
10/1/10,29390.00,7278.00,21929.00,366.00,489.00,2902.00,2238.00,4082.00,1436.00,1427.00,1030.00,1171.00,300.00,1882.00,1379.00,1867.00,3120.00,3884.00,"1,555"
1/1/11,29350.00,7315.00,21842.00,357.00,497.00,2860.00,2212.00,4034.00,1451.00,1417.00,1059.00,1179.00,299.00,1857.00,1299.00,1875.00,3121.00,3967.00,"1,544"
4/1/11,29367.00,7183.00,22021.00,342.00,521.00,2868.00,2198.00,4051.00,1445.00,1458.00,1073.00,1173.00,308.00,1851.00,1321.00,1844.00,3129.00,3931.00,"1,587"
7/1/11,29376.00,7009.00,22216.00,370.00,519.00,2841.00,2237.00,4019.00,1428.00,1498.00,1061.00,1192.00,300.00,1888.00,1339.00,1852.00,2986.00,3981.00,"1,639"
10/1/11,29405.00,6970.00,22276.00,357.00,527.00,2884.00,2172.00,4078.00,1432.00,1499.00,1083.00,1215.00,293.00,1898.00,1353.00,1864.00,3021.00,3927.00,"1,583"
1/1/12,29365.00,6952.00,22209.00,374.00,534.00,2851.00,2148.00,4017.00,1430.00,1438.00,1124.00,1199.00,333.00,1903.00,1369.00,1847.00,3088.00,3865.00,"1,554"
4/1/12,29587.00,6846.00,22517.00,353.00,532.00,2921.00,2171.00,4103.00,1416.00,1496.00,1098.00,1229.00,328.00,1945.00,1357.00,1803.00,3078.00,3871.00,"1,574"
7/1/12,29851.00,6883.00,22722.00,356.00,547.00,2934.00,2175.00,4129.00,1457.00,1527.00,1113.00,1216.00,329.00,1983.00,1372.00,1827.00,3021.00,3948.00,"1,607"
10/1/12,29974.00,6984.00,22752.00,316.00,518.00,2911.00,2150.00,4105.00,1482.00,1523.00,1146.00,1169.00,346.00,1968.00,1376.00,1824.00,3140.00,3992.00,"1,592"
1/1/13,29750.00,6989.00,22504.00,304.00,537.00,2921.00,2102.00,4031.00,1487.00,1504.00,1161.00,1150.00,344.00,2000.00,1354.00,1852.00,3114.00,3985.00,"1,587"
4/1/13,29861.00,6965.00,22638.00,308.00,526.00,2868.00,2155.00,4021.00,1456.00,1504.00,1162.00,1144.00,344.00,2024.00,1423.00,1864.00,3103.00,4029.00,"1,591"
7/1/13,30194.00,7012.00,22933.00,324.00,510.00,2954.00,2188.00,3999.00,1520.00,1566.00,1177.00,1178.00,326.00,2073.00,1450.00,1880.00,3081.00,4036.00,"1,642"
10/1/13,30362.00,6904.00,23226.00,322.00,511.00,2957.00,2200.00,4097.00,1543.00,1555.00,1198.00,1172.00,341.00,2096.00,1437.00,1817.00,3094.00,4068.00,"1,639"
1/1/14,30446.00,6934.00,23311.00,379.00,508.00,2945.00,2229.00,4063.00,1490.00,1579.00,1150.00,1171.00,369.00,2169.00,1388.00,1851.00,3107.00,4076.00,"1,663"
4/1/14,30628.00,6936.00,23497.00,395.00,511.00,2997.00,2217.00,3994.00,1467.00,1633.00,1174.00,1158.00,359.00,2141.00,1441.00,1806.00,3218.00,4105.00,"1,693"
7/1/14,30918.00,6914.00,23808.00,386.00,543.00,3019.00,2242.00,3976.00,1470.00,1665.00,1237.00,1207.00,340.00,2139.00,1487.00,1853.00,3197.00,4062.00,"1,781"
10/1/14,31018.00,6901.00,23914.00,375.00,537.00,3077.00,2268.00,4124.00,1479.00,1594.00,1250.00,1182.00,339.00,2136.00,1452.00,1798.00,3233.00,4142.00,"1,753"
1/1/15,31074.00,6980.00,23915.00,348.00,567.00,3007.00,2266.00,4066.00,1512.00,1618.00,1276.00,1185.00,334.00,2189.00,1414.00,1845.00,3285.00,4170.00,"1,765"
4/1/15,31035.00,6929.00,23913.00,340.00,552.00,3016.00,2196.00,3998.00,1537.00,1663.00,1243.00,1222.00,339.00,2146.00,1499.00,1831.00,3265.00,4155.00,"1,756"
7/1/15,31416.00,6851.00,24377.00,349.00,553.00,2968.00,2223.00,4095.00,1576.00,1698.00,1275.00,1254.00,348.00,2173.00,1539.00,1841.00,3266.00,4162.00,"1,812"
10/1/15,31615.00,6900.00,24528.00,383.00,546.00,2992.00,2264.00,4207.00,1610.00,1638.00,1261.00,1279.00,347.00,2204.00,1563.00,1878.00,3329.00,4130.00,"1,756"
1/1/16,31499.00,6924.00,24414.00,351.00,528.00,3008.00,2271.00,4131.00,1608.00,1663.00,1225.00,1262.00,358.00,2243.00,1525.00,1856.00,3357.00,4143.00,"1,744"
4/1/16,31673.00,6939.00,24564.00,337.00,519.00,3034.00,2315.00,4167.00,1609.00,1707.00,1207.00,1269.00,356.00,2294.00,1496.00,1898.00,3300.00,4158.00,"1,773"
7/1/16,31890.00,6908.00,24830.00,357.00,516.00,3013.00,2290.00,4253.00,1638.00,1766.00,1302.00,1260.00,354.00,2250.00,1511.00,1936.00,3336.00,4100.00,"1,809"
10/1/16,31920.00,6853.00,24898.00,375.00,528.00,2948.00,2316.00,4226.00,1603.00,1768.00,1321.00,1196.00,352.00,2350.00,1530.00,1964.00,3284.00,4148.00,"1,789"
1/1/17,31878.00,6840.00,24876.00,381.00,539.00,2908.00,2336.00,4136.00,1560.00,1747.00,1323.00,1195.00,370.00,2341.00,1551.00,1952.00,3305.00,4234.00,"1,768"
4/1/17,31996.00,6874.00,24998.00,374.00,538.00,2915.00,2327.00,4220.00,1554.00,1807.00,1340.00,1194.00,345.00,2330.00,1573.00,1968.00,3263.00,4187.00,"1,840"
7/1/17,32138.00,6841.00,25176.00,352.00,527.00,2950.00,2367.00,4195.00,1605.00,1784.00,1273.00,1234.00,343.00,2331.00,1589.00,2001.00,3266.00,4184.00,"1,907"
10/1/17,32230.00,6833.00,25271.00,375.00,561.00,2951.00,2330.00,4323.00,1580.00,1727.00,1242.00,1241.00,355.00,2366.00,1592.00,1999.00,3247.00,4224.00,"1,882"
1/1/18,32277.00,6970.00,25191.00,354.00,587.00,2922.00,2332.00,4258.00,1572.00,1718.00,1312.00,1256.00,372.00,2363.00,1555.00,2097.00,3236.00,4266.00,"1,835"
4/1/18,32321.00,6949.00,25254.00,350.00,585.00,2887.00,2333.00,4225.00,1626.00,1791.00,1317.00,1277.00,346.00,2425.00,1568.00,2057.00,3225.00,4224.00,"1,856"
7/1/18,32503.00,6986.00,25401.00,334.00,584.00,2881.00,2341.00,4198.00,1627.00,1775.00,1305.00,1383.00,353.00,2417.00,1567.00,2128.00,3296.00,4277.00,"1,796"
10/1/18,32671.00,7039.00,25530.00,343.00,600.00,2901.00,2405.00,4118.00,1602.00,1739.00,1290.00,1373.00,397.00,2432.00,1592.00,2134.00,3377.00,4340.00,"1,775"
1/1/19,32770.00,7095.00,25553.00,332.00,571.00,2963.00,2421.00,4090.00,1558.00,1746.00,1318.00,1291.00,379.00,2482.00,1523.00,2107.00,3444.00,4415.00,"1,882"
4/1/19,32884.00,7051.00,25705.00,346.00,551.00,3033.00,2359.00,4064.00,1595.00,1779.00,1337.00,1274.00,397.00,2523.00,1560.00,2111.00,3461.00,4380.00,"1,905"
7/1/19,32923.00,7070.00,25734.00,349.00,550.00,3010.00,2335.00,4061.00,1580.00,1828.00,1407.00,1299.00,407.00,2555.00,1520.00,2133.00,3449.00,4447.00,"1,835"
10/1/19,33098.00,7224.00,25761.00,338.00,545.00,3023.00,2301.00,4109.00,1576.00,1751.00,1494.00,1268.00,387.00,2542.00,1548.00,2141.00,3462.00,4559.00,"1,908"
1/1/20,32977.00,7166.00,25692.00,323.00,545.00,2964.00,2287.00,4004.00,1589.00,1829.00,1501.00,1230.00,378.00,2574.00,1566.00,2123.00,3450.00,4574.00,"1,875"
4/1/20,32553.00,7349.00,25074.00,294.00,572.00,2885.00,2196.00,3947.00,1581.00,1704.00,1435.00,1297.00,393.00,2540.00,1502.00,2236.00,3434.00,4568.00,"1,797"
7/1/20,32386.00,7441.00,24851.00,314.00,540.00,2746.00,2129.00,3976.00,1573.00,1601.00,1523.00,1330.00,401.00,2635.00,1509.00,2237.00,3449.00,4542.00,"1,774"
10/1/20,32304.00,7626.00,24584.00,317.00,582.00,2661.00,2101.00,3855.00,1551.00,1502.00,1534.00,1447.00,422.00,2680.00,1411.00,2418.00,3506.00,4435.00,"1,766"
1/1/21,32319.00,7731.00,24516.00,287.00,568.00,2745.00,2111.00,3840.00,1491.00,1464.00,1539.00,1433.00,426.00,2711.00,1417.00,2369.00,3516.00,4498.00,"1,774"
4/1/21,32369.00,7609.00,24684.00,286.00,606.00,2707.00,2116.00,3845.00,1481.00,1522.00,1524.00,1425.00,411.00,2621.00,1435.00,2387.00,3444.00,4543.00,"1,872"
7/1/21,32752.00,7696.00,24934.00,288.00,639.00,2742.00,2194.00,3864.00,1500.00,1632.00,1572.00,1392.00,441.00,2652.00,1464.00,2423.00,3408.00,4593.00,"1,782"
10/1/21,32766.00,7800.00,24821.00,264.00,587.00,2732.00,2150.00,3833.00,1555.00,1643.00,1596.00,1346.00,393.00,2679.00,1467.00,2491.00,3506.00,4546.00,"1,810"
1/1/22,32796.00,7739.00,24913.00,246.00,568.00,2770.00,2169.00,3752.00,1585.00,1610.00,1580.00,1355.00,389.00,2706.00,1421.00,2496.00,3432.00,4670.00,"1,858"
4/1/22,32924.00,7757.00,25011.00,252.00,552.00,2768.00,2189.00,3592.00,1581.00,1734.00,1648.00,1417.00,412.00,2765.00,1439.00,2515.00,3431.00,4666.00,"1,807"
7/1/22,32953.00,7795.00,24997.00,245.00,567.00,2673.00,2146.00,3542.00,1647.00,1738.00,1751.00,1408.00,400.00,2789.00,1418.00,2598.00,3418.00,4649.00,"1,817"
10/1/22,33149.00,7826.00,25155.00,247.00,545.00,2694.00,2160.00,3690.00,1646.00,1761.00,1682.00,1392.00,407.00,2744.00,1467.00,2667.00,3488.00,4535.00,"1,826"
1/1/23,33329.00,7931.00,25197.00,264.00,522.00,2671.00,2131.00,3700.00,1684.00,1743.00,1654.00,1414.00,420.00,2949.00,1467.00,2751.00,3469.00,4474.00,"1,816"
4/1/23,33275.00,7869.00,25258.00,271.00,511.00,2536.00,2165.00,3599.00,1621.00,1673.00,1739.00,1509.00,416.00,3038.00,1416.00,2778.00,3357.00,4656.00,"1,804"
7/1/23,33379.00,7716.00,25528.00,332.00,505.00,2508.00,2158.00,3589.00,1668.00,1774.00,1717.00,1510.00,402.00,3071.00,1406.00,2663.00,3321.00,4675.00,"1,921"
10/1/23,33412.00,7797.00,25495.00,323.00,552.00,2704.00,2148.00,3568.00,1549.00,1648.00,1659.00,1477.00,413.00,2951.00,1554.00,2618.00,3458.00,4774.00,"1,873"
1/1/24,33334.00,7814.00,25403.00,308.00,591.00,2729.00,2100.00,3385.00,1628.00,1523.00,1657.00,1559.00,445.00,2990.00,1501.00,2550.00,3482.00,4837.00,"1,880"
4/1/24,33417.00,7889.00,25396.00,281.00,556.00,2738.00,2067.00,3501.00,1627.00,1652.00,1653.00,1485.00,395.00,2876.00,1524.00,2553.00,3538.00,4932.00,"1,879"
7/1/24,33804.00,7986.00,25710.00,293.00,567.00,2751.00,2088.00,3602.00,1608.00,1781.00,1665.00,1419.00,392.00,2860.00,1486.00,2666.00,3598.00,5028.00,"1,840"
10/1/24,33896.00,7828.00,25943.00,286.00,563.00,2710.00,2140.00,3675.00,1704.00,1854.00,1666.00,1433.00,391.00,3025.00,1445.00,2702.00,3511.00,4792.00,"1,814"
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
